CruiseID,LonSta,LatSta,DepthSta
1G,-6.133,56.667,190
2G,-6.283,56.683,30
3G,-6.367,56.708,70
4G,-6.45,56.733,115
5G,-6.6,56.733,80
6G,-6.75,56.733,40
7G,-7,56.733,140
8G,-7.167,56.733,170
9G,-7.333,56.733,160
10G,-7.5,56.733,215
11G,-7.667,56.733,110
12G,-7.833,56.758,50
13G,-8,56.783,110
14G,-8.167,56.808,120
T,-8.333,56.837,130
15G,-8.5,56.883,125
S,-8.783,56.95,125
R,-9,57,300
Q,-9.217,57.05,500
Q1,-9.317,57.075,800
P,-9.417,57.1,1400
O,-9.7,57.15,1900
N,-10.05,57.233,2100
M,-10.383,57.3,2300
L,-10.667,57.367,2000
K,-10.867,57.4,800
J,-11.083,57.45,550
I,-11.317,57.467,750
H,-11.533,57.483,2020
G,-11.85,57.492,1800
F,-12.25,57.508,1800
E,-12.633,57.533,1650
D,-12.867,57.542,1000
C,-13,57.55,330
B,-13.333,57.567,200
A,-13.633,57.583,100
IB1,-13.9,57.667,150
IB1A,-14.25,57.801,220
IB2,-14.583,57.95,440
IB2A,-14.96,58.072,600
IB3,-15.333,58.25,660
IB3A,-15.666,58.343,1060
IB4,-16,58.5,1190
IB4A,-16.249,58.566,1120
IB4B,-16.501,58.661,1170
IB4C,-16.75,58.757,1140
IB5,-17,58.883,1160
IB6,-17.183,58.95,890
IB7,-17.667,59.117,970
IB8,-17.883,59.2,1570
IB9,-18.233,59.333,1870
IB10,-18.417,59.4,2420
IB11,-19.117,59.667,2690
IB11A,-19.5,59.809,2700
IB12,-20,60,2730
IB12A,-20,60.25,2600
IB13,-20,60.5,2530
IB13A,-20,60.75,2500
IB14,-20,61,2409
IB15,-20,61.25,2380
IB16,-20,61.5,2230
IB16A,-20,61.75,1800
IB17,-20,62,1800
IB18S,-19.834,62.333,1790
IB19S,-19.668,62.667,1670
IB20S,-19.551,62.917,1400
IB21S,-19.916,63.133,1030
IB22S,-20.067,63.216,670
IB23S,-20.215,63.317,120
